iter	Logloss
0	0.6045895374
1	0.5361264023
2	0.4817386135
3	0.4399244184
4	0.4114886306
5	0.3934781241
6	0.3795176256
7	0.3655240495
8	0.3564317551
9	0.349438126
10	0.3428919141
11	0.3382384869
12	0.3341406461
13	0.3306210503
14	0.3277607303
15	0.3240215977
16	0.3214719403
17	0.3197194015
18	0.3172340075
19	0.3160277375
20	0.3144586171
21	0.3132360065
22	0.3121552874
23	0.3107332255
24	0.3088755784
25	0.3076911933
26	0.3066602558
27	0.3057340494
28	0.3051048911
29	0.3045489545
30	0.3037331206
31	0.3018664132
32	0.3012848043
33	0.300093961
34	0.2992533213
35	0.2986358907
36	0.2977483651
37	0.2973140702
38	0.2962418082
39	0.2956476015
40	0.2947933758
41	0.2942631903
42	0.2938035966
43	0.2933792818
44	0.2929324769
45	0.292619632
46	0.2923168789
47	0.291950251
48	0.2917176573
49	0.2910314148
50	0.2907492279
51	0.2902503902
52	0.2895627866
53	0.2891623527
54	0.2887728459
55	0.2881744696
56	0.2877516087
57	0.2874637767
58	0.2871313476
59	0.286891982
60	0.2863854867
61	0.2861355602
62	0.2857658856
63	0.2853745001
64	0.2845848459
65	0.2843116072
66	0.2840012666
67	0.2837344167
68	0.2834666621
69	0.2830942222
70	0.2826080981
71	0.2822997497
72	0.2820490898
73	0.2818388153
74	0.281658052
75	0.2813932091
76	0.2810446438
77	0.2806395481
78	0.2804058521
79	0.2801671749
80	0.2797494998
81	0.2794982381
82	0.2791395988
83	0.2789028334
84	0.2783986945
85	0.2781850402
86	0.2779491804
87	0.2776151756
88	0.2773356541
89	0.2771171093
90	0.2768957759
91	0.2766833628
92	0.2764898618
93	0.276372822
94	0.2761982405
95	0.275959426
96	0.2758095725
97	0.275475616
98	0.2752939499
99	0.2750817727
100	0.2748733226
101	0.2746174303
102	0.2743451239
103	0.2740589479
104	0.2738217719
105	0.2736534448
106	0.273445326
107	0.2732277041
108	0.2725705884
109	0.2722957864
110	0.2721167343
111	0.2717895626
112	0.271556295
113	0.2712651947
114	0.2705494137
115	0.2703683388
116	0.270098937
117	0.2698729599
118	0.2696569456
119	0.269408268
120	0.2692578598
121	0.2689580742
122	0.2687363621
123	0.2684808994
124	0.2682980232
125	0.2681066392
126	0.2679124953
127	0.267682207
128	0.267497993
129	0.26731913
130	0.267100391
131	0.2666998176
132	0.2661399884
133	0.2659114054
134	0.2657585302
135	0.2654985161
136	0.2652859457
137	0.2648573645
138	0.2646633546
139	0.264453748
140	0.2642208533
141	0.2640711645
142	0.2638392128
143	0.2636411968
144	0.2634858614
145	0.2633152316
146	0.2630082945
147	0.2627879364
148	0.262658821
149	0.2624851002
150	0.262271144
151	0.2621072459
152	0.2618396126
153	0.2616824478
154	0.2615145977
155	0.2613624098
156	0.2612228735
157	0.261010489
158	0.260808093
159	0.260626946
160	0.2602369404
161	0.2600141165
162	0.259831512
163	0.2596814994
164	0.2595034123
165	0.2593010625
166	0.2591132418
167	0.2588556608
168	0.258730204
169	0.2584931692
170	0.258304257
171	0.25812817
172	0.2579560683
173	0.2577913809
174	0.2577055634
175	0.2574041139
176	0.2572451124
177	0.2571054095
178	0.2569750763
179	0.2568344219
180	0.2566912443
181	0.256312409
182	0.2561523422
183	0.2560193582
184	0.2558977693
185	0.255791079
186	0.2556298541
187	0.2555224632
188	0.2553315118
189	0.2552049532
190	0.2550217509
191	0.2548380324
192	0.254742683
193	0.2546252959
194	0.254419771
195	0.2542828698
196	0.2541807393
197	0.2539504228
198	0.2538445884
199	0.2537021906
