,precision,recall,f1-score,support
<=50K,0.9020368574199806,0.9412955465587044,0.9212481426448736,4940.0
>50K,0.7856614929785661,0.6779336734693877,0.7278329339267374,1568.0
accuracy,0.8778426551936078,0.8778426551936078,0.8778426551936078,0.8778426551936078
macro avg,0.8438491751992734,0.809614610014046,0.8245405382858055,6508.0
weighted avg,0.8739980480401193,0.8778426551936078,0.8746477973360172,6508.0
